device_id,ip_address,mac_address,device_type,subnet,country,os_type,avg_packets_per_min,avg_bytes_per_min,typical_protocols,typical_ports,active_hours_start,active_hours_end,connection_freq
DEV_0000,192.168.0.7,DE:AD:BE:8C:7D:72,laptop,0,DE,Embedded,95.44398404980197,47093.37972039598,"['TCP', 'HTTP', 'HTTPS', 'DNS']","[80, 443, 8080]",8,18,13.170204491101074
DEV_0001,192.168.1.56,00:25:00:34:2F:C2,workstation,1,UK,macOS,140.55890470503365,59683.65681459043,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,2.82483890580192
DEV_0002,192.168.2.72,00:21:5A:BA:53:BD,workstation,2,CN,Linux,155.2730470187827,51603.41906660042,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,15.8296443966627
DEV_0003,192.168.3.234,00:1C:B3:A1:6C:FF,server,3,IN,Embedded,1188.2777788810981,454020.29762111465,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'SSH']","[22, 80, 443, 3306, 5432, 8080]",0,24,14.240473788226112
DEV_0004,192.168.4.120,00:1D:09:80:05:3A,workstation,4,CA,macOS,101.02632095465678,97469.92889831029,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,11.137931875597415
DEV_0005,192.168.5.236,00:1A:2B:A5:FA:09,iot,5,UK,macOS,26.950239980101014,3946.254931881445,"['TCP', 'UDP', 'HTTP']","[80, 443, 8883, 1883]",0,24,0.9039620863816851
DEV_0006,192.168.6.187,DE:AD:BE:66:9F:CC,laptop,6,CN,iOS,59.74867363992095,58088.07099113406,"['TCP', 'HTTP', 'HTTPS', 'DNS']","[80, 443, 8080]",8,18,4.898681695503658
DEV_0007,192.168.7.148,00:21:5A:7C:F2:D0,iot,7,FR,Windows,23.226896236496266,4377.5264135875605,"['TCP', 'UDP', 'HTTP']","[80, 443, 8883, 1883]",0,24,0.5746322509759909
DEV_0008,192.168.8.221,00:1D:09:32:19:07,workstation,8,UK,Linux,122.84616881760778,33868.275235493675,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,12.003829821301128
DEV_0009,192.168.9.139,00:1A:2B:A0:1D:19,laptop,9,AU,iOS,48.891927352737994,22640.29212506984,"['TCP', 'HTTP', 'HTTPS', 'DNS']","[80, 443, 8080]",8,18,6.869148814702214
DEV_0010,192.168.0.184,00:25:00:7A:87:CA,workstation,0,DE,Embedded,118.5836858855678,18998.312403212964,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,6.397119497146365
DEV_0011,192.168.1.207,AA:BB:CC:04:99:35,network_device,1,DE,macOS,387.0448748555192,172298.66839307398,"['TCP', 'UDP', 'ICMP', 'DNS']","[22, 23, 161, 162]",0,24,33.67010197856209
DEV_0012,192.168.2.190,00:21:5A:DA:04:39,workstation,2,UK,Embedded,131.83854338082836,90908.3339868331,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,3.8502851900921415
DEV_0013,192.168.3.239,08:00:27:53:5A:D3,workstation,3,US,Linux,99.82782019196429,80863.70582219241,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,10.285458224220957
DEV_0014,192.168.4.85,00:1B:44:23:8E:B3,workstation,4,CA,iOS,176.5491744908121,98519.55155947784,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,19.71624528769862
DEV_0015,192.168.5.134,00:1D:09:64:BA:DC,workstation,5,UK,Embedded,143.47331149196137,39356.461437165985,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,15.46642208286002
DEV_0016,192.168.6.54,00:1E:68:A4:EE:E2,workstation,6,BR,Embedded,120.97792788639894,66964.67701892162,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,5.584338789078379
DEV_0017,192.168.7.107,AA:BB:CC:63:C4:FD,server,7,IN,Linux,721.3570176369474,148478.51156554374,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'SSH']","[22, 80, 443, 3306, 5432, 8080]",0,24,20.922273927044596
DEV_0018,192.168.8.114,00:1C:B3:DA:E4:51,mobile,8,BR,iOS,63.60695790080158,9608.022998301169,"['TCP', 'HTTP', 'HTTPS', 'UDP']","[80, 443]",0,24,7.210981846098246
DEV_0019,192.168.9.107,00:1A:2B:69:D7:C7,laptop,9,AU,Embedded,99.08284161720962,67679.65030988005,"['TCP', 'HTTP', 'HTTPS', 'DNS']","[80, 443, 8080]",8,18,4.821094364685592
DEV_0020,192.168.0.186,00:0C:29:EF:41:0D,mobile,0,IN,Android,19.498964106139496,23314.43182103276,"['TCP', 'HTTP', 'HTTPS', 'UDP']","[80, 443]",0,24,0.6841412269751015
DEV_0021,192.168.1.167,00:50:56:14:0F:7E,workstation,1,FR,Windows,85.78174128333588,43200.56568906472,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,7.5987005527747975
DEV_0022,192.168.2.242,DE:AD:BE:65:26:7C,workstation,2,UK,Embedded,177.54398586331945,48554.021191127,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,3.8996996715919745
DEV_0023,192.168.3.188,00:1D:09:8A:F7:EE,workstation,3,IN,Embedded,98.34568744716773,61286.468021049,"['TCP', 'HTTP', 'HTTPS', 'DNS', 'UDP']","[80, 443, 993, 25, 110]",8,18,8.386849391169715
